rank,uid,title,year,venue,url,problem_claimed,actual_mechanism,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open
1,arxiv:2311.13986v1,FViT-Grasp: Grasping Objects With Using Fast Vision Transformers,2023,arXiv,http://arxiv.org/abs/2311.13986v1,Addresses energy-based transformers for grasping or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Ebm transformer compositional grasping keeps action-critical alternatives explicit until a physical observation collapses them.
2,arxiv:2511.20841v1,OVAL-Grasp: Open-Vocabulary Affordance Localization for Task Oriented Grasping,2025,arXiv,http://arxiv.org/abs/2511.20841v1,Addresses energy-based transformers for grasping or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Ebm transformer compositional grasping keeps action-critical alternatives explicit until a physical observation collapses them.
3,arxiv:2503.06227v1,GAT-Grasp: Gesture-Driven Affordance Transfer for Task-Aware Robotic Grasping,2025,arXiv,http://arxiv.org/abs/2503.06227v1,Addresses energy-based transformers for grasping or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Ebm transformer compositional grasping keeps action-critical alternatives explicit until a physical observation collapses them.
4,arxiv:2410.03522v2,HMT-Grasp: A Hybrid Mamba-Transformer Approach for Robot Grasping in Cluttered Environments,2024,arXiv,http://arxiv.org/abs/2410.03522v2,Addresses energy-based transformers for grasping or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Ebm transformer compositional grasping keeps action-critical alternatives explicit until a physical observation collapses them.
5,arxiv:2411.16755v1,FunGrasp: Functional Grasping for Diverse Dexterous Hands,2024,arXiv,http://arxiv.org/abs/2411.16755v1,Addresses energy-based transformers for grasping or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Ebm transformer compositional grasping keeps action-critical alternatives explicit until a physical observation collapses them.
6,doi:10.1115/dscc2013-4029,Kinematic Synthesis of Minimally Actuated Multi-Loop Planar Linkages With Second Order Motion Constraints for Object Grasping,2013,"Volume 3: Nonlinear Estimation and Control; Optimization and Optimal Control; Piezoelectric Actuation and Nanoscale Control; Robotics and Manipulators; Sensing; System Identification (Estimation for Automotive Applications, Modeling, Therapeutic Control in Bio-Systems); Variable Structure/Sliding-Mode Control; Vehicles and Human Robotics; Vehicle Dynamics and Control; Vehicle Path Planning and Collision Avoidance; Vibrational and Mechanical Systems; Wind Energy Systems and Control",https://doi.org/10.1115/dscc2013-4029,Addresses energy-based transformers for grasping or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Ebm transformer compositional grasping keeps action-critical alternatives explicit until a physical observation collapses them.
7,doi:10.1007/s11370-026-00707-4,Oracle-grasp: zero-shot affordance-aligned robotic grasping using large multimodal models,2026,Intelligent Service Robotics,https://doi.org/10.1007/s11370-026-00707-4,Addresses energy-based transformers for grasping or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Ebm transformer compositional grasping keeps action-critical alternatives explicit until a physical observation collapses them.
8,arxiv:2311.05779v1,Language-guided Robot Grasping: CLIP-based Referring Grasp Synthesis in Clutter,2023,arXiv,http://arxiv.org/abs/2311.05779v1,Addresses energy-based transformers for grasping or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Ebm transformer compositional grasping keeps action-critical alternatives explicit until a physical observation collapses them.
9,doi:10.3390/electronics13245025,Manipulability-Aware Task-Oriented Grasp Planning and Motion Control with Application in a Seven-DoF Redundant Dual-Arm Robot,2024,Electronics,https://doi.org/10.3390/electronics13245025,Addresses energy-based transformers for grasping or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Ebm transformer compositional grasping keeps action-critical alternatives explicit until a physical observation collapses them.
10,doi:10.1007/s10462-020-09888-5,"Vision-based Robotic Grasping From Object Localization, Object Pose Estimation to Grasp Estimation for Parallel Grippers: A Review",2019,arXiv,http://arxiv.org/abs/1905.06658v4,Addresses energy-based transformers for grasping or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Ebm transformer compositional grasping keeps action-critical alternatives explicit until a physical observation collapses them.
