stress_level,variant,mean_success,ci95_success
0.0,scalar_uncertainty_planner,0.6721,0.0161
0.0,conformal_risk_filter,0.6917,0.0120
0.0,proposed_branch_mechanism,0.7383,0.0147
0.0,oracle_branch_upper_bound,0.8005,0.0091
0.2,scalar_uncertainty_planner,0.6202,0.0185
0.2,conformal_risk_filter,0.6502,0.0132
0.2,proposed_branch_mechanism,0.7100,0.0150
0.2,oracle_branch_upper_bound,0.7802,0.0093
0.4,scalar_uncertainty_planner,0.5683,0.0118
0.4,conformal_risk_filter,0.6031,0.0117
0.4,proposed_branch_mechanism,0.6760,0.0136
0.4,oracle_branch_upper_bound,0.7574,0.0101
0.6,scalar_uncertainty_planner,0.5155,0.0103
0.6,conformal_risk_filter,0.5629,0.0110
0.6,proposed_branch_mechanism,0.6500,0.0170
0.6,oracle_branch_upper_bound,0.7352,0.0120
0.8,scalar_uncertainty_planner,0.4550,0.0102
0.8,conformal_risk_filter,0.5200,0.0117
0.8,proposed_branch_mechanism,0.6233,0.0191
0.8,oracle_branch_upper_bound,0.7155,0.0131
1.0,scalar_uncertainty_planner,0.4002,0.0101
1.0,conformal_risk_filter,0.4724,0.0154
1.0,proposed_branch_mechanism,0.5971,0.0175
1.0,oracle_branch_upper_bound,0.6924,0.0138
